"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","Получение организации по id","","2026-01-07","broken","2026-01-07","TestCompany","test_x_clients_db","",""
"","90","test_select_1_row_with_two_filters","","2026-01-07","failed","2026-01-07","","test_database","",""
"","102","test_db_connection","","2026-01-07","failed","2026-01-07","","test_database","",""
"","81","test_delete","","2026-01-07","passed","2026-01-07","","test_database","",""
"Запрос организация с параметром active = true","24","Получение списка активных организаций","","2026-01-07","failed","2026-01-07","TestCompany","test_x_clients_db","",""
"","85","test_insert","","2026-01-07","passed","2026-01-07","","test_database","",""
"","34","Создание организации","","2026-01-07","broken","2026-01-07","TestCompany","test_x_clients_db","",""
"","77","test_select_1_row","","2026-01-07","failed","2026-01-07","","test_database","",""
"","83","Получение полного списка организаций","","2026-01-07","passed","2026-01-07","TestCompany","test_x_clients_db","",""
"","82","test_select","","2026-01-07","failed","2026-01-07","","test_database","",""
"","77","test_update","","2026-01-07","passed","2026-01-07","","test_database","",""
